sample,method,rouge1,rouge2,rougeL,bertscore_p,bertscore_r,bertscore_f1
Sample_1,zero,0.34355828220858897,0.15452151009657594,0.18580192813321647,0.9779789447784424,0.9752461314201355,0.9766106009483337
Sample_2,zero,0.4584426946631671,0.14022787028921999,0.16272965879265094,0.974967360496521,0.9753720760345459,0.9751696586608887
Sample_3,zero,0.3154819863680623,0.10731707317073172,0.15774099318403115,0.9734495878219604,0.9710487723350525,0.9722477197647095
Sample_4,zero,0.2505747126436782,0.06451612903225808,0.11264367816091952,0.9714305996894836,0.9702963829040527,0.9708631634712219
Sample_5,zero,0.35465924895688455,0.07103064066852367,0.14464534075104313,0.9723498821258545,0.9724025130271912,0.9723761677742004
Sample_6,zero,0.34071222329162654,0.08100289296046287,0.136669874879692,0.9750343561172485,0.9703832864761353,0.9727032780647278
Sample_7,zero,0.38335435056746536,0.11125158027812895,0.16393442622950818,0.9737520813941956,0.9704996347427368,0.9721230864524841
Sample_8,zero,0.4741980474198048,0.15664335664335666,0.19246861924686195,0.9769846200942993,0.9759143590927124,0.976449191570282
Sample_9,zero,0.46684831970935514,0.13284804367606914,0.18346957311534967,0.9718740582466125,0.9744138717651367,0.9731423258781433
Sample_10,zero,0.3704775687409551,0.13768115942028986,0.15050651230101303,0.975246787071228,0.9755225777626038,0.9753845930099487
Sample_1,few,0.3989941324392288,0.15952980688497062,0.17770326906957248,0.977967381477356,0.9753749370574951,0.9766694903373718
Sample_2,few,0.4402764067127345,0.14441147378832836,0.1618953603158934,0.9785223007202148,0.9768381118774414,0.9776794910430908
Sample_3,few,0.36723672367236726,0.08115419296663662,0.1458145814581458,0.973706841468811,0.9719482660293579,0.9728267192840576
Sample_4,few,0.40131578947368424,0.09890109890109888,0.15350877192982454,0.973290741443634,0.972630500793457,0.9729605317115784
Sample_5,few,0.37010676156583633,0.10548823948681396,0.15943060498220643,0.9756976366043091,0.9743536114692688,0.9750251770019531
Sample_6,few,0.3612334801762115,0.11827007943512799,0.15506607929515417,0.9721556305885315,0.9719954133033752,0.9720755219459534
Sample_7,few,0.36633663366336633,0.11662531017369727,0.15346534653465346,0.9745850563049316,0.9712371826171875,0.9729081988334656
Sample_8,few,0.41509433962264153,0.09729729729729729,0.16442048517520216,0.9725509285926819,0.9758986234664917,0.9742218852043152
Sample_9,few,0.3774765380604797,0.11076280041797283,0.18143899895724713,0.9705337285995483,0.9721262454986572,0.9713293313980103
Sample_10,few,0.4246031746031746,0.16026490066225166,0.1626984126984127,0.9740898609161377,0.9748765230178833,0.9744830131530762
Sample_1,cot,0.550518134715026,0.20492866407263294,0.22409326424870465,0.975694477558136,0.976516842842102,0.9761054515838623
Sample_2,cot,0.4533333333333333,0.12822796081923418,0.15822222222222224,0.9744752049446106,0.9765174388885498,0.9754952788352966
Sample_3,cot,0.2738916256157636,0.08094768015794669,0.12807881773399016,0.9749749302864075,0.9699099063873291,0.9724358320236206
Sample_4,cot,0.28813559322033894,0.09223300970873786,0.12106537530266342,0.9745728373527527,0.9724428653717041,0.9735066890716553
Sample_5,cot,0.36416184971098264,0.10274963820549929,0.17341040462427748,0.972926139831543,0.9723214507102966,0.9726236462593079
Sample_6,cot,0.3342776203966006,0.10028382213812677,0.14542020774315392,0.9740173816680908,0.9697205424308777,0.9718641638755798
Sample_7,cot,0.3604240282685513,0.09681227863046046,0.14840989399293286,0.971839427947998,0.9697771668434143,0.9708072543144226
Sample_8,cot,0.4277286135693215,0.07988165680473372,0.15634218289085547,0.9744885563850403,0.9744467735290527,0.9744676947593689
Sample_9,cot,0.5175879396984925,0.15268456375838926,0.19262981574539365,0.972430944442749,0.9740875363349915,0.9732585549354553
Sample_10,cot,0.2689075630252101,0.07573632538569425,0.12044817927170869,0.9715049862861633,0.9722817540168762,0.9718931913375854
